,family,name,number,id,try1
239,田中,湊,2,969,27
240,伊藤,碧,5,433,12
241,田中,樹,1,676,28
242,高橋,湊,6,477,25
243,伊藤,蓮,10,385,30
244,鈴木,樹,9,827,22
245,鈴木,碧,4,364,22
246,鈴木,紬,10,41,30
247,鈴木,紬,9,914,22
248,佐藤,陽葵,2,180,26
249,佐藤,葵,7,586,21
250,田中,葵,1,190,15
251,高橋,湊,0,223,27
252,田中,陽葵,7,600,15
253,佐藤,陽翔,10,472,11
254,鈴木,葵,4,674,30
255,佐藤,芽依,10,161,16
256,佐藤,朝陽,4,368,22
257,高橋,朝陽,8,8,30
258,伊藤,紬,9,79,23
259,伊藤,朝陽,2,532,24
260,伊藤,陽葵,9,514,14
261,田中,碧,7,820,13
262,田中,陽菜,5,788,24
263,佐藤,樹,7,530,13
264,伊藤,湊,5,150,12
265,鈴木,蓮,5,341,25
266,高橋,樹,6,398,16
267,田中,紬,7,132,25
268,高橋,朝陽,10,402,11
269,佐藤,碧,2,177,19
270,田中,樹,10,256,16
271,田中,陽翔,6,313,26
272,伊藤,蒼,7,592,11
273,鈴木,陽菜,5,30,21
274,田中,碧,6,308,10
275,田中,樹,9,997,28
276,佐藤,朝陽,2,924,15
277,高橋,凛,4,170,23
278,鈴木,蒼,1,324,22
279,田中,朝陽,5,54,29
280,田中,葵,9,259,15
281,高橋,陽菜,0,728,25
282,鈴木,凛,2,298,10
283,佐藤,蓮,5,662,30
284,伊藤,葵,3,551,19
285,佐藤,蒼,10,289,23
286,佐藤,樹,8,826,26
287,鈴木,碧,10,519,23
288,鈴木,湊,5,422,24
289,田中,紬,1,493,21
290,高橋,蒼,6,109,15
291,伊藤,陽葵,4,374,24
292,鈴木,芽依,5,564,11
293,高橋,紬,10,209,14
294,田中,葵,7,461,26
295,伊藤,凛,0,130,12
296,佐藤,蒼,3,622,10
297,高橋,紬,0,13,12
298,田中,紬,7,154,11
299,田中,蒼,8,578,27
300,高橋,陽菜,8,649,13
301,佐藤,蓮,10,429,19
302,鈴木,陽葵,9,280,27
303,佐藤,蓮,7,218,16
304,伊藤,蒼,9,300,23
305,高橋,碧,2,597,30
306,鈴木,樹,1,248,30
307,伊藤,湊,4,301,15
308,鈴木,蓮,6,724,24
309,高橋,凛,5,502,29
310,鈴木,葵,8,721,18
311,伊藤,陽翔,5,193,10
312,高橋,陽翔,4,559,17
313,鈴木,葵,0,708,16
314,佐藤,凛,2,319,20
315,伊藤,蓮,1,35,23
316,高橋,碧,4,31,18
317,伊藤,碧,10,125,13
318,田中,陽菜,0,116,24
319,高橋,陽菜,7,84,17
320,鈴木,紬,2,883,26
321,佐藤,樹,7,135,24
322,高橋,陽翔,8,916,11
323,高橋,紬,10,240,28
324,田中,葵,1,76,22
325,鈴木,紬,5,409,12
326,高橋,碧,3,415,28
327,鈴木,樹,9,853,24
328,伊藤,樹,7,579,25
329,田中,陽菜,8,377,30
330,鈴木,陽翔,0,993,19
331,鈴木,陽翔,6,893,17
332,佐藤,陽葵,10,129,20
333,鈴木,葵,9,903,14
334,佐藤,凛,9,810,26
335,鈴木,碧,1,287,22
336,高橋,葵,0,798,12
337,田中,碧,9,554,28
338,佐藤,湊,6,509,22
339,高橋,湊,2,634,19
340,佐藤,陽菜,3,22,20
341,高橋,陽翔,6,696,21
342,鈴木,陽葵,7,203,11
343,鈴木,芽依,8,625,23
344,高橋,朝陽,3,659,16
345,鈴木,樹,8,5,22
346,高橋,凛,3,296,18
347,佐藤,陽翔,6,42,14
348,鈴木,樹,1,51,30
349,高橋,芽依,1,328,21
350,佐藤,凛,0,980,15
351,鈴木,樹,6,633,18
352,田中,葵,8,67,19
353,伊藤,葵,9,7,24
354,鈴木,凛,9,801,25
355,高橋,朝陽,6,764,18
356,田中,樹,2,194,22
357,佐藤,碧,0,199,22
358,佐藤,蓮,7,272,13
359,田中,朝陽,7,314,15
360,伊藤,芽依,10,167,15
361,伊藤,陽菜,9,590,17
362,佐藤,蓮,1,541,16
363,鈴木,朝陽,5,534,19
364,高橋,碧,10,928,11
365,高橋,陽葵,8,889,28
366,佐藤,芽依,1,311,24
367,高橋,湊,9,437,12
368,田中,蓮,7,618,23
369,伊藤,樹,5,114,26
370,鈴木,蒼,2,282,29
371,高橋,葵,7,846,24
372,高橋,朝陽,4,481,28
373,佐藤,陽翔,1,110,29
374,佐藤,蒼,1,778,30
375,高橋,紬,4,671,29
376,鈴木,葵,8,648,24
377,鈴木,碧,5,358,13
378,田中,蒼,4,50,30
379,田中,陽葵,7,14,22
380,鈴木,樹,7,892,11
381,伊藤,湊,1,96,22
382,伊藤,芽依,3,291,15
383,伊藤,葵,6,556,28
384,佐藤,蓮,9,760,12
385,佐藤,芽依,0,251,30
386,鈴木,陽葵,9,837,22
387,高橋,陽菜,10,163,19
388,高橋,朝陽,10,281,28
389,高橋,凛,10,2,17
390,伊藤,陽菜,0,805,25
391,鈴木,蒼,9,754,28
392,伊藤,凛,7,225,25
393,高橋,陽翔,4,156,28
394,鈴木,陽翔,0,468,21
395,高橋,陽葵,6,467,29
396,鈴木,陽葵,2,44,16
397,佐藤,蒼,8,585,11
398,伊藤,碧,9,372,15
399,高橋,湊,2,187,16
400,高橋,凛,3,432,25
401,田中,樹,2,576,19
402,高橋,芽依,5,299,19
403,佐藤,紬,6,626,23
404,高橋,蒼,6,710,23
405,高橋,葵,7,661,13
406,伊藤,凛,7,215,24
407,高橋,朝陽,2,716,16
408,鈴木,陽菜,5,244,23
409,鈴木,樹,10,608,18
410,佐藤,陽菜,7,3,10
411,田中,芽依,3,935,14
412,佐藤,紬,8,975,24
413,高橋,朝陽,2,46,16
414,伊藤,凛,10,807,29
415,伊藤,蒼,8,851,20
416,田中,蓮,0,956,17
417,高橋,陽菜,7,835,17
418,高橋,葵,6,720,13
419,伊藤,陽葵,1,261,29
420,佐藤,湊,7,763,24
421,鈴木,凛,10,967,10
422,高橋,湊,7,207,17
423,高橋,凛,3,401,12
424,佐藤,樹,8,569,13
425,田中,陽翔,10,677,30
426,高橋,紬,5,561,24
427,田中,陽翔,8,894,26
428,伊藤,陽菜,8,663,13
429,鈴木,碧,6,492,14
430,田中,朝陽,6,18,26
431,田中,朝陽,8,775,17
432,佐藤,葵,8,526,18
433,鈴木,湊,6,336,21
434,高橋,陽翔,7,365,27
435,高橋,芽依,10,106,23
436,伊藤,朝陽,6,899,16
437,鈴木,陽葵,5,819,23
438,田中,蒼,9,984,22
439,伊藤,樹,1,715,22
440,佐藤,紬,4,424,29
441,鈴木,陽翔,8,435,13
442,伊藤,陽葵,4,173,15
443,鈴木,樹,0,185,18
444,高橋,葵,8,473,29
445,伊藤,湊,10,147,23
446,田中,芽依,1,757,20
447,田中,紬,7,630,24
448,伊藤,樹,0,610,23
449,鈴木,朝陽,10,353,22
450,伊藤,蒼,4,949,12
451,鈴木,樹,3,673,15
452,田中,陽葵,1,452,15
453,鈴木,紬,1,117,20
454,伊藤,蒼,3,765,20
455,佐藤,陽菜,7,930,12
456,伊藤,陽翔,4,713,28
457,伊藤,蓮,9,909,28
458,田中,朝陽,2,431,24
459,高橋,陽葵,5,796,25
460,佐藤,碧,1,723,20
461,伊藤,陽翔,10,521,12
462,鈴木,凛,3,913,20
463,佐藤,陽葵,3,971,26
464,鈴木,朝陽,0,391,29
465,高橋,陽葵,2,802,10
466,田中,陽菜,3,722,25
467,伊藤,蓮,4,315,16
468,鈴木,芽依,9,73,30
469,鈴木,陽葵,1,621,20
470,佐藤,芽依,9,414,11
471,田中,陽葵,6,667,18
472,鈴木,凛,7,747,19
473,伊藤,陽翔,0,387,13
474,田中,蒼,7,817,17
475,田中,湊,9,528,18
476,伊藤,葵,7,766,13
477,佐藤,碧,6,517,13
478,佐藤,蓮,5,503,14
479,伊藤,陽菜,1,797,17
480,田中,樹,1,898,13
481,田中,紬,4,322,18
482,高橋,陽菜,1,95,15
483,田中,凛,2,262,12
484,田中,碧,6,188,15
485,高橋,碧,2,434,29
486,鈴木,陽葵,6,948,23
487,佐藤,陽葵,0,642,15
488,鈴木,蓮,2,149,28
489,高橋,湊,6,268,26
490,伊藤,蓮,0,142,20
491,伊藤,陽翔,5,581,21
492,高橋,凛,1,255,24
493,鈴木,陽翔,5,250,18
494,田中,樹,8,354,22
495,佐藤,葵,7,351,14
496,伊藤,陽菜,4,842,18
497,伊藤,葵,2,128,13
498,佐藤,陽葵,6,45,16
499,佐藤,紬,7,388,29
500,佐藤,碧,1,271,27
501,田中,朝陽,1,774,28
502,鈴木,蒼,4,793,21
503,田中,陽葵,2,92,19
504,佐藤,碧,2,961,16
505,鈴木,陽葵,10,123,30
506,伊藤,碧,2,777,19
507,佐藤,陽菜,5,228,14
508,高橋,樹,2,567,15
509,鈴木,蒼,5,795,22
510,佐藤,湊,6,476,10
511,鈴木,陽葵,9,994,16
512,高橋,陽菜,4,293,13
513,鈴木,碧,6,26,15
514,佐藤,湊,8,840,15
515,伊藤,蓮,3,599,12
516,田中,蓮,8,275,16
517,田中,陽葵,9,525,27
518,鈴木,陽葵,4,448,24
519,鈴木,陽翔,2,15,13
520,佐藤,樹,6,430,13
521,高橋,樹,1,985,26
522,佐藤,陽菜,0,665,15
523,佐藤,凛,5,55,27
524,伊藤,朝陽,3,743,19
525,高橋,芽依,9,108,29
526,佐藤,碧,7,21,12
527,田中,紬,3,549,22
528,高橋,凛,9,394,29
529,佐藤,葵,2,866,23
530,鈴木,芽依,7,689,19
531,佐藤,紬,2,518,24
532,伊藤,樹,9,63,24
533,鈴木,紬,4,172,22
534,伊藤,碧,2,932,29
535,佐藤,蒼,1,309,10
536,鈴木,陽菜,8,871,28
537,佐藤,紬,9,918,19
538,田中,朝陽,8,547,29
539,高橋,蒼,8,357,17
540,高橋,紬,8,968,18
541,高橋,陽翔,6,499,19
542,高橋,樹,0,712,28
543,田中,蓮,10,734,26
544,鈴木,朝陽,5,771,17
545,佐藤,芽依,0,127,21
546,鈴木,朝陽,3,553,10
547,田中,蓮,5,216,26
548,高橋,芽依,7,367,13
549,高橋,樹,7,602,26
550,鈴木,蓮,0,863,28
551,伊藤,陽翔,1,396,26
552,佐藤,陽菜,5,657,27
553,佐藤,紬,8,141,30
554,伊藤,陽翔,0,148,27
555,佐藤,紬,10,386,16
556,高橋,葵,7,192,21
557,田中,蒼,0,680,22
558,佐藤,蓮,7,339,29
559,鈴木,陽翔,9,751,15
560,鈴木,紬,4,613,24
561,高橋,蓮,3,498,30
562,高橋,樹,8,725,29
563,鈴木,陽翔,10,47,19
564,伊藤,芽依,7,379,29
565,高橋,蓮,3,707,18
566,伊藤,樹,3,267,23
567,鈴木,蓮,10,756,16
568,田中,陽葵,9,739,15
569,佐藤,蒼,9,922,30
570,伊藤,碧,9,856,17
571,佐藤,紬,8,776,16
572,鈴木,湊,9,243,24
573,佐藤,朝陽,0,876,27
574,佐藤,蒼,9,317,25
575,高橋,朝陽,3,305,30
576,伊藤,陽翔,10,950,14
577,高橋,湊,8,101,28
578,伊藤,陽翔,5,584,29
579,佐藤,陽葵,9,332,27
580,高橋,陽菜,3,565,10
581,伊藤,紬,2,524,12
582,鈴木,碧,3,548,16
583,鈴木,陽菜,5,34,18
584,鈴木,紬,2,0,27
585,佐藤,蓮,0,242,24
586,佐藤,湊,1,60,25
587,田中,蒼,1,781,28
588,佐藤,陽翔,8,238,12
589,高橋,碧,3,330,12
590,高橋,碧,0,645,16
591,高橋,蒼,5,818,17
592,伊藤,凛,6,629,17
593,佐藤,陽菜,9,616,10
594,高橋,朝陽,7,520,13
595,田中,葵,9,874,27
596,田中,樹,1,740,22
597,鈴木,蒼,10,320,28
598,鈴木,蓮,2,183,22
599,高橋,陽葵,10,575,21
600,伊藤,陽翔,3,247,19
601,田中,陽翔,3,68,21
602,伊藤,凛,2,550,27
603,鈴木,陽菜,0,627,30
604,田中,紬,7,478,22
605,高橋,蓮,5,89,16
606,高橋,蒼,6,11,11
607,鈴木,碧,10,753,22
608,鈴木,朝陽,10,103,28
609,高橋,樹,2,646,15
610,佐藤,蓮,7,12,28
611,伊藤,碧,8,363,18
612,佐藤,葵,4,557,20
613,佐藤,陽葵,2,624,14
614,高橋,湊,9,80,16
615,田中,蓮,9,212,19
616,鈴木,凛,0,873,22
617,田中,芽依,5,815,10
618,佐藤,紬,2,121,15
619,伊藤,陽葵,8,685,24
620,高橋,蓮,0,943,23
621,田中,陽菜,10,412,12
622,伊藤,湊,9,704,14
623,佐藤,朝陽,10,451,14
624,佐藤,蓮,1,692,18
625,鈴木,碧,8,201,15
626,鈴木,湊,10,726,25
627,佐藤,陽翔,3,992,12
628,伊藤,陽翔,8,944,18
629,田中,樹,5,290,13
630,佐藤,碧,1,171,21
631,鈴木,凛,3,366,28
632,高橋,凛,7,976,10
633,伊藤,凛,1,942,19
634,鈴木,樹,8,682,29
635,佐藤,芽依,5,670,10
636,鈴木,陽菜,0,307,16
637,伊藤,湊,0,404,13
638,高橋,芽依,10,94,11
639,佐藤,陽菜,8,966,28
640,佐藤,蒼,1,484,10
641,田中,碧,2,794,26
642,佐藤,陽菜,5,381,16
643,高橋,蒼,2,977,23
644,田中,湊,9,253,20
645,高橋,葵,8,907,14
646,田中,蒼,6,213,29
647,佐藤,凛,7,829,10
648,伊藤,陽翔,0,911,16
649,佐藤,芽依,4,32,12
650,田中,蓮,7,195,15
651,鈴木,芽依,7,651,16
652,佐藤,陽葵,4,449,19
653,伊藤,凛,8,896,25
654,伊藤,陽葵,4,510,19
655,高橋,湊,7,496,30
656,高橋,蓮,0,614,20
657,佐藤,湊,10,197,16
658,高橋,陽菜,2,643,23
659,佐藤,湊,10,1,13
660,高橋,陽翔,3,506,19
661,伊藤,葵,7,153,30
662,鈴木,紬,3,666,28
663,鈴木,紬,10,962,15
664,田中,凛,3,258,20
665,鈴木,葵,0,27,14
666,高橋,葵,3,888,13
667,伊藤,陽翔,5,761,25
668,高橋,紬,4,88,17
669,佐藤,湊,1,500,26
670,鈴木,陽翔,6,635,18
671,高橋,湊,8,231,25
672,田中,湊,1,342,15
673,高橋,葵,9,40,19
674,高橋,葵,8,604,24
675,鈴木,葵,4,910,19
676,佐藤,陽翔,3,972,29
677,田中,樹,8,587,15
678,佐藤,陽葵,9,733,10
679,伊藤,樹,3,838,22
680,佐藤,蓮,5,29,17
681,田中,凛,6,474,10
682,伊藤,陽菜,8,457,15
683,高橋,紬,4,607,14
684,佐藤,陽翔,3,675,26
685,高橋,芽依,4,787,18
686,高橋,芽依,5,901,17
687,伊藤,碧,6,338,30
688,伊藤,紬,6,160,15
689,伊藤,陽葵,7,306,24
690,佐藤,蓮,2,816,15
691,田中,碧,3,577,12
692,田中,蓮,3,809,10
693,田中,葵,4,885,11
694,田中,芽依,7,953,26
695,高橋,樹,3,687,29
696,鈴木,樹,9,151,21
697,田中,蓮,1,515,23
698,鈴木,樹,5,683,18
699,伊藤,陽葵,3,326,29
700,鈴木,陽翔,3,784,17
701,佐藤,蒼,7,996,15
702,佐藤,朝陽,5,861,25
703,佐藤,芽依,2,900,12
704,高橋,碧,10,991,16
705,伊藤,葵,9,208,23
706,鈴木,凛,0,730,27
707,鈴木,芽依,4,155,11
708,田中,陽翔,3,589,25
709,鈴木,芽依,0,397,17
710,田中,陽翔,2,668,17
711,田中,朝陽,8,10,27
712,高橋,樹,1,347,25
713,佐藤,湊,8,99,15
714,田中,蒼,6,844,30
715,伊藤,蒼,6,571,14
716,鈴木,碧,6,146,22
717,伊藤,碧,3,598,18
718,佐藤,陽翔,2,934,11
719,高橋,葵,7,742,23
720,高橋,陽菜,1,729,25
721,伊藤,樹,2,229,30
722,高橋,陽菜,2,85,28
723,伊藤,碧,3,891,15
724,伊藤,蓮,2,808,11
725,鈴木,芽依,4,438,27
726,鈴木,陽菜,6,420,18
727,田中,碧,10,115,14
728,鈴木,陽葵,4,836,12
729,田中,蒼,6,691,26
730,伊藤,蒼,3,560,18
731,田中,朝陽,1,921,15
732,鈴木,朝陽,7,283,18
733,佐藤,蒼,10,371,19
734,鈴木,凛,4,744,16
735,高橋,陽葵,1,501,12
736,伊藤,碧,3,641,16
737,佐藤,陽菜,3,359,25
738,伊藤,芽依,9,445,22
739,伊藤,蒼,0,375,27
740,鈴木,碧,7,389,14
741,田中,蒼,7,369,29
742,鈴木,碧,2,505,26
743,伊藤,碧,0,862,15
744,田中,蒼,10,204,25
745,鈴木,陽葵,1,362,28
746,佐藤,朝陽,8,511,28
747,鈴木,葵,6,945,26
748,佐藤,陽翔,4,113,27
749,鈴木,碧,4,191,12
750,鈴木,陽葵,0,69,14
751,佐藤,陽葵,3,737,30
752,鈴木,凛,5,746,13
753,佐藤,蒼,7,690,16
754,高橋,陽葵,1,465,19
755,伊藤,朝陽,8,413,10
756,高橋,紬,3,361,23
757,高橋,陽葵,0,71,13
758,佐藤,蒼,3,59,26
759,伊藤,葵,8,36,21
760,鈴木,芽依,6,936,16
761,高橋,蒼,5,813,28
762,高橋,朝陽,10,946,16
763,伊藤,蒼,1,346,12
764,高橋,碧,8,552,10
765,田中,紬,7,111,25
766,鈴木,蓮,7,78,21
767,佐藤,樹,9,383,29
768,田中,湊,2,699,15
769,田中,陽翔,2,647,15
770,鈴木,蓮,2,952,28
771,田中,朝陽,10,205,19
772,田中,陽菜,0,669,26
773,田中,紬,0,804,20
774,田中,紬,3,736,11
775,田中,朝陽,1,522,21
776,高橋,芽依,3,152,26
777,田中,朝陽,3,620,19
778,鈴木,陽葵,2,333,19
779,伊藤,芽依,2,770,18
780,高橋,陽葵,6,455,29
781,田中,蓮,9,727,16
782,田中,湊,6,485,22
783,田中,陽葵,6,102,11
784,伊藤,葵,9,419,17
785,佐藤,蓮,7,800,25
786,高橋,蓮,0,902,15
787,田中,陽葵,10,122,14
788,田中,湊,7,859,23
789,田中,芽依,10,17,11
790,田中,朝陽,6,335,28
791,高橋,紬,3,568,27
792,佐藤,樹,1,405,30
793,鈴木,湊,5,257,18
794,鈴木,湊,8,508,30
795,高橋,湊,5,273,18
796,高橋,紬,3,974,24
797,鈴木,湊,1,821,18
798,佐藤,蓮,4,854,21
799,田中,紬,3,294,17
800,鈴木,碧,5,857,20
801,佐藤,芽依,10,601,14
802,佐藤,凛,2,458,20
803,佐藤,碧,9,38,18
804,伊藤,湊,9,714,13
805,佐藤,紬,6,384,17
806,伊藤,芽依,10,175,29
807,鈴木,陽菜,2,456,28
808,高橋,湊,10,573,20
809,田中,湊,0,558,17
810,高橋,蓮,6,98,19
811,高橋,樹,5,65,15
812,鈴木,陽菜,0,512,15
813,高橋,凛,9,331,13
814,高橋,碧,5,442,21
815,伊藤,陽翔,10,986,11
816,伊藤,蓮,8,650,19
817,田中,凛,0,832,11
818,田中,碧,3,749,24
819,佐藤,碧,1,411,28
820,伊藤,凛,6,906,30
821,田中,陽翔,4,504,16
822,伊藤,湊,2,965,29
823,鈴木,凛,1,678,22
824,高橋,蒼,2,486,22
825,伊藤,紬,0,421,19
826,佐藤,陽葵,8,303,10
827,鈴木,陽菜,9,39,24
828,佐藤,葵,6,61,23
829,高橋,芽依,8,938,21
830,伊藤,陽菜,3,603,18
831,高橋,陽翔,5,789,10
832,伊藤,朝陽,3,709,29
833,高橋,陽菜,9,782,16
834,鈴木,芽依,4,543,29
835,鈴木,紬,7,206,20
836,佐藤,湊,3,246,29
837,伊藤,葵,7,230,21
838,高橋,陽翔,0,681,22
839,佐藤,碧,5,791,23
840,高橋,蓮,6,264,14
841,田中,葵,3,143,22
842,鈴木,陽翔,9,562,13
843,佐藤,葵,4,877,10
844,田中,陽翔,10,200,11
845,高橋,蒼,10,869,24
846,鈴木,陽葵,5,860,13
847,田中,樹,9,166,14
848,佐藤,朝陽,10,234,15
849,鈴木,凛,10,855,10
850,鈴木,陽翔,7,538,16
851,伊藤,湊,4,417,14
852,高橋,陽菜,6,546,16
853,高橋,碧,9,535,27
854,鈴木,碧,4,822,13
855,鈴木,蓮,0,523,28
856,高橋,陽菜,5,479,13
857,高橋,芽依,2,463,28
